condition_ID,sspec_ID,condition,keywords,patient_description,scheduling_priority,scheduling_timeframe,special_instructions,bidec_question,true_scaler
123,4,Uterine Factor Infertility,uterine factor infertility fibroids polyps uterine abnormality,Uterine factor infertility fibroids polyps or anomalies,STANDARD,2-4 weeks,Reproductive endocrinology subspecialty,"Have you been told that fibroids, polyps, or uterine shape may be affecting your fertility?",1.2
124,4,Unexplained Infertility,unexplained infertility normal workup fertility treatment,Unexplained infertility with normal testing,STANDARD,2-4 weeks,Reproductive endocrinology subspecialty,"Have you had fertility testing that came back normal but are still having difficulty conceiving?",1.2
125,5,Ovarian Cancer,ovarian cancer ovarian mass CA-125 elevated suspicious mass,Ovarian cancer diagnosis or suspicious ovarian mass,URGENT,Within 1 week,Gynecologic oncology subspecialty,"I understand this may be worrying. Have you received an ovarian cancer diagnosis or been told you need oncology evaluation?",1.4
126,5,Endometrial Cancer,endometrial cancer uterine cancer postmenopausal bleeding abnormal biopsy,Endometrial or uterine cancer diagnosis or abnormal biopsy,URGENT,Within 1 week,Gynecologic oncology subspecialty,"Have you been diagnosed with endometrial or uterine cancer, or had a concerning biopsy result?",1.4
127,5,Cervical Cancer,cervical cancer abnormal pap high-grade dysplasia invasive cancer,Cervical cancer or high-grade cervical dysplasia,URGENT,Within 1 week,Gynecologic oncology subspecialty,"Have you been diagnosed with cervical cancer or high-grade cervical changes?",1.4
128,5,Vulvar Cancer,vulvar cancer vulvar lesion vulvar mass VIN vulvar intraepithelial neoplasia,Vulvar cancer or vulvar intraepithelial neoplasia,URGENT,Within 1 week,Gynecologic oncology subspecialty,"Have you been diagnosed with vulvar cancer or been told you have concerning vulvar changes?",1.4
129,5,Vaginal Cancer,vaginal cancer vaginal lesion vaginal mass VAIN,Vaginal cancer or vaginal intraepithelial neoplasia,URGENT,Within 1 week,Gynecologic oncology subspecialty,"Have you been diagnosed with vaginal cancer or concerning vaginal cell changes?",1.4
130,5,Uterine Sarcoma,uterine sarcoma leiomyosarcoma aggressive uterine cancer,Uterine sarcoma or aggressive uterine malignancy,URGENT,Within 1 week,Gynecologic oncology subspecialty,"Have you been diagnosed with uterine sarcoma or an aggressive uterine condition?",1.4
131,5,Complex Adnexal Mass,complex adnexal mass suspicious ovarian cyst pelvic mass,Complex adnexal or pelvic mass requiring oncology evaluation,URGENT,Within 1 week,Gynecologic oncology subspecialty,"Have you been told you have a complex mass on your ovary or in your pelvis that needs specialized evaluation?",1.35
132,5,Endometrial Hyperplasia,endometrial hyperplasia atypical hyperplasia precancerous endometrium,Endometrial hyperplasia or atypical hyperplasia,ELEVATED,1-2 weeks,Gynecologic oncology subspecialty,"Has a biopsy shown endometrial hyperplasia or atypical cells in your uterine lining?",1.4
133,5,Genetic Cancer Risk,genetic cancer risk BRCA testing hereditary cancer Lynch syndrome,Genetic cancer risk assessment BRCA or Lynch syndrome,STANDARD,2-4 weeks,Gynecologic oncology subspecialty,"Do you have a known genetic mutation like BRCA or Lynch syndrome, or a strong family history of certain cancers?",1.2
134,5,Abnormal Pap High-Grade,high-grade pap smear HSIL CIN 2 CIN 3 severe dysplasia,High-grade pap smear or severe cervical dysplasia,URGENT,Within 1 week,Gynecologic oncology subspecialty,"Did your recent Pap or colposcopy show high-grade changes that need specialized follow-up?",1.35
135,5,Prophylactic Surgery,prophylactic surgery risk reducing surgery BRCA positive oophorectomy,Prophylactic or risk-reducing surgery for cancer prevention,STANDARD,2-4 weeks,Gynecologic oncology subspecialty,"Have you been advised to consider preventive surgery based on your genetic risk or family history?",1.2
136,5,Chemotherapy Management,chemotherapy management gynecologic cancer treatment oncology treatment,Chemotherapy management for gynecologic cancer,URGENT,Within 1 week,Gynecologic oncology subspecialty,"Are you currently receiving or about to start chemotherapy for a gynecologic cancer?",1.2
137,5,Cancer Survivorship,cancer survivorship follow-up surveillance post-treatment monitoring,Cancer survivorship and surveillance after treatment,STANDARD,1-3 months,Gynecologic oncology subspecialty,"Have you completed cancer treatment and are looking to schedule your survivorship follow-up care?",1.1
138,5,Second Opinion Oncology,second opinion gynecologic cancer treatment options consultation,Second opinion for gynecologic cancer diagnosis or treatment,ELEVATED,1-2 weeks,Gynecologic oncology subspecialty,"Are you seeking a second opinion regarding a gynecologic cancer diagnosis or treatment plan?",1.15
139,5,Gestational Trophoblastic Disease,gestational trophoblastic disease molar pregnancy GTD choriocarcinoma,Gestational trophoblastic disease or molar pregnancy,URGENT,Within 1 week,Gynecologic oncology subspecialty,"Have you recently been diagnosed with a molar pregnancy or gestational trophoblastic disease?",1.4
